Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
Bosnia and Herzegovina,3323929,1053000,2020-03-22,2020-03-06,43.915886,17.679076000000006,41.0,2020-03-11,Full,BIH
Botswana,2254126,14000,2020-04-01,2020-03-31,-22.328474,24.684866,24.4,2020-04-02,Partial,BWA
Brazil,209469333,6621000,2020-03-18,2020-02-27,-14.235004,-51.92528,31.3,2020-03-17,Partial,BRA
Brunei,428962,14000,2020-03-29,2020-03-10,4.535277,114.727669,37.0,,,BRN
Bulgaria,7025037,9273000,2020-03-12,2020-03-09,42.733883,25.48583,43.5,2020-03-13,Full,BGR
Burkina Faso,19751535,144000,2020-03-19,2020-03-11,12.238333,-1.561593,17.0,2020-03-21,Full,BFA
Burma,53071000,14000,2020-04-01,2020-03-28,21.9162,95.956,37.0,,,MMR
Burundi,11175378,14000,2020-04-14,2020-04-01,-3.373056,29.918886,17.6,,,BDI
Cabo Verde,543767,710000,2020-03-25,2020-03-21,16.5388,-23.0418,23.8,,,CPV
Cambodia,16249798,6201000,,2020-01-28,12.565679,104.990963,24.0,2020-03-28,Partial,KHM
Cameroon,25216237,14000,2020-03-26,2020-03-07,7.369722,12.354722,18.3,,,CMR
Canada,37057765,21134000,2020-03-10,2020-01-27,56.130366,-106.346771,40.5,2020-03-16,Partial,CAN
Central African Republic,4666377,14000,,2020-03-16,6.611111,20.939444,17.8,,,CAF
Chad,15477751,14000,,2020-03-20,15.454166,18.732207,16.1,,,TCD
Chile,18729160,5723000,2020-03-23,2020-03-04,-35.675147,-71.542969,33.7,2020-03-26,Full,CHL
China,1392730000,62900000,2020-01-23,2020-01-22,35.86166,104.195397,37.0,2020-01-23,Full,CHN
Colombia,49648685,3904000,2020-03-23,2020-03-07,4.570868,-74.297333,30.1,2020-03-25,Full,COL
Congo (Brazzaville),5244363,156000,2020-04-03,2020-03-16,-4.521666000000001,21.964254999999998,37.0,2020-03-28,Partial,COG
Congo (Kinshasa),84068091,14000,2020-03-22,2020-03-12,-1.1425020000000001,15.852951000000001,37.0,2020-03-31,Full,COD
Costa Rica,4999441,3017000,2020-03-20,2020-03-07,9.748917,-83.753428,31.4,2020-03-15,Full,CRI
Cote d'Ivoire,25069229,1965000,2020-03-30,2020-03-12,7.54,-5.3053230000000005,37.0,,,CIV
Croatia,4087843,16645000,2020-03-20,2020-02-26,45.1,15.2,42.6,2020-03-22,Partial,HRV
Cuba,11338138,4684000,2020-03-19,2020-03-13,21.521757,-77.78116700000002,41.1,2020-03-23,Full,CUB
Cyprus,1189265,3939000,2020-03-23,2020-03-10,35.126413,33.429859,34.9,2020-03-25,Full,CYP
Czechia,10065000,14000,2020-03-23,2020-03-02,49.8175,15.472999999999999,41.4,2020-03-16,Full,CZE
Denmark,5793636,12749000,2020-03-15,2020-02-28,56.26392,9.501785,41.6,2020-03-11,Full,DNK
Diamond Princess,712,14000,2020-02-21,2020-02-08,-100.0,-100.0,37.0,,,NAN
Djibouti,958920,14000,2020-04-11,2020-03-19,11.825138,42.590275,23.7,2020-03-23,Full,DJI
Dominica,71625,63000,,2020-03-23,15.414999,-61.370976,37.0,2020-03-19,Partial,DMA
Dominican Republic,10627165,6569000,2020-03-18,2020-03-02,18.735693,-70.162651,26.1,2020-03-17,Full,DOM
Ecuador,17084357,2535000,2020-03-15,2020-03-02,-1.831239,-78.183406,26.6,2020-03-24,Partial,ECU
Egypt,98423595,11196000,2020-03-09,2020-02-15,26.820553000000004,30.802498,24.7,2020-03-24,Full,EGY
El Salvador,6420744,1677300,2020-04-01,2020-03-20,13.794185,-88.89653,25.8,2020-03-12,Full,SLV
Equatorial Guinea,1308974,14000,2020-04-23,2020-03-16,1.6508009999999995,10.267895,22.2,2020-03-22,Full,GNQ
Eritrea,3214000,14000,,2020-03-22,15.179384,39.78233400000001,18.9,2020-04-02,Partial,ERI
Estonia,1321977,3234000,2020-03-26,2020-02-28,58.595272,25.013607,41.6,2020-03-13,Full,EST
Eswatini,1136191,782000,2020-04-17,2020-03-15,-26.517941399999998,31.4659,37.0,2020-03-27,Partial,SWZ
Ethiopia,109224559,849000,2020-04-06,2020-03-14,9.145,40.489673,18.6,2020-03-16,Full,ETH
Fiji,883483,870000,,2020-03-20,-16.578193,179.414413,27.6,2020-03-20,Partial,FJI
Finland,5515525,3224000,2020-03-22,2020-01-30,61.92411,25.748151,42.5,2020-03-27,Full,FIN
France,66977107,89322000,2020-02-16,2020-01-25,46.227638,2.213749,41.2,2020-03-16,Full,FRA
Gabon,2119275,14000,2020-03-21,2020-03-15,-0.803689,11.609444,22.6,2020-04-13,Partial,GAB
Gambia,2280000,14000,2020-03-24,2020-03-18,13.443182,-15.310139,17.0,,,GMB
Georgia,3726549,4757000,2020-04-05,2020-02-27,42.315407,43.356892,38.0,2020-03-22,Partial,GEO
Germany,82905782,38881000,2020-03-10,2020-01-28,51.165691,10.451526,45.9,2020-03-20,Full,DEU
Ghana,29767108,14000,2020-03-22,2020-03-15,7.9465270000000015,-1.0231940000000002,20.4,2020-03-15,Full,GHA
Greece,10731726,30123000,2020-03-12,2020-02-27,39.074208,21.824312,43.3,2020-03-18,Full,GRC
Grenada,111454,185000,,2020-03-23,12.262776,-61.604171,27.2,2020-03-25,Full,GRD
Guatemala,17247807,1781000,2020-03-17,2020-03-15,15.783471,-90.230759,21.3,,,GTM
Guinea,12414318,14000,2020-04-16,2020-03-14,9.945587,-9.696645,18.4,,,GIN
Guinea-Bissau,1874309,14000,2020-04-27,2020-03-26,11.803749,-15.180413,18.9,,,GNB
Guyana,779004,287000,2020-03-13,2020-03-13,4.860416000000002,-58.93018000000001,24.6,,,GUY
Haiti,11123176,447000,2020-04-06,2020-03-21,18.971187,-72.28521500000002,23.0,,,HTI
Holy See,825,14000,,2020-03-07,41.9029,12.4534,37.0,2020-03-09,Full,VAT
Honduras,9587522,14000,2020-03-27,2020-03-12,15.199998999999998,-86.241905,23.0,2020-03-20,Partial,HND
Hungary,9775564,17552000,2020-03-16,2020-03-05,47.162494,19.503304,41.7,2020-03-16,Full,HUN
Iceland,352721,2343800,2020-03-17,2020-02-29,64.96305100000001,-19.020835,36.0,2020-03-16,Full,ISL
India,1352617328,17423000,2020-03-12,2020-01-31,20.593684,78.96288,26.7,2020-03-24,Full,IND
Indonesia,267663435,15810000,2020-03-12,2020-03-03,-0.789275,113.921327,28.0,2020-04-10,Partial,IDN
Iran,81800269,7295000,2020-02-20,2020-02-20,32.427908,53.68804599999999,29.5,2020-03-15,Full,IRN
Iraq,38433600,14000,2020-03-05,2020-02-25,33.223191,43.679291,19.4,2020-03-22,Full,IRQ
Ireland,4867309,10926000,2020-03-12,2020-03-01,53.41291,-8.243889999999999,36.9,2020-03-12,Full,IRL
Israel,8882800,4121000,2020-03-22,2020-02-22,31.046051,34.851612,30.2,2020-03-12,Full,ISR
Italy,60421760,61567200,2020-02-22,2020-02-01,41.87194,12.56738,45.9,2020-03-11,Full,ITA
Jamaica,2934855,2473000,2020-03-20,2020-03-12,18.109581,-77.297508,29.4,2020-03-12,Full,JAM
Japan,126529100,31192000,2020-02-14,2020-01-23,36.204824,138.252924,46.3,2020-02-27,Full,JPN
Jordan,9956011,4150000,2020-03-28,2020-03-04,30.585164,36.238414,22.1,2020-03-21,Full,JOR
Kazakhstan,18272430,8789000,2020-03-26,2020-03-14,48.019573,66.923684,29.3,2020-03-19,Partial,KAZ
Kenya,51393010,14000,2020-03-27,2020-03-14,-0.023559,37.906193,19.0,2020-03-15,Full,KEN
"Korea, South",51606633,15347000,2020-02-21,2020-01-23,35.9078,127.7669,37.0,,,KOR
Kosovo,1845300,14000,2020-03-27,2020-03-27,42.602636,20.902977,37.0,2020-03-25,Partial,RKS
Kuwait,4137309,8508000,2020-04-05,2020-02-25,29.31166,47.481766,33.4,2020-03-16,Partial,KWT
Kyrgyzstan,6316000,14000,2020-04-04,2020-03-19,41.20438,74.766098,25.3,2020-03-24,Partial,KGZ
Laos,7062000,14000,,2020-03-25,19.85627,102.495496,37.0,2020-03-29,Full,LAO
Latvia,1927174,1946000,2020-04-04,2020-03-03,56.879635,24.603189,42.5,2020-03-13,Full,LVA
Lebanon,6848925,1964000,2020-03-11,2020-02-22,33.854721000000005,35.862285,28.5,2020-03-16,Full,LBN
Liberia,4818977,14000,2020-04-05,2020-03-17,6.4280550000000005,-9.429499,18.6,2020-03-23,Partial,LBR
Libya,6678567,14000,2020-04-03,2020-03-25,26.3351,17.228331,27.2,2020-03-22,Full,LBY
Liechtenstein,37910,85300,2020-04-05,2020-03-05,47.166,9.555373,37.0,,,LIE
Lithuania,2801543,2825000,2020-03-22,2020-02-29,55.169438,23.881275,42.7,2020-03-16,Full,LTU
Luxembourg,607950,1018000,2020-03-15,2020-03-01,49.815273,6.129583,39.3,2020-03-16,Full,LUX
MS Zaandam,712,14000,2020-04-02,2020-03-29,-100.0,-100.0,37.0,,,NAN
Madagascar,26262368,291000,,2020-03-21,-18.766947,46.869107,18.7,2020-03-23,Partial,MDG
Malawi,18143315,871000,2020-04-08,2020-04-03,-13.254307999999998,34.301525,17.4,,,MWI
Malaysia,31528585,25832000,2020-03-18,2020-01-26,4.210483999999999,101.975766,27.7,2020-03-18,Full,MYS
Maldives,515696,1484000,,2020-03-09,3.202778,73.22068,27.9,2020-03-11,Full,MDV
Mali,19077690,14000,2020-03-30,2020-03-26,17.570692,-3.996166000000001,16.0,2020-03-18,Full,MLI
Malta,484630,2599000,2020-04-09,2020-03-08,35.937496,14.375416,40.9,2020-03-12,Full,MLT
Mauritania,4403319,14000,2020-03-31,2020-03-15,21.00789,-10.940835,19.7,,,MRT
Mauritius,1265303,1399000,2020-03-22,2020-03-19,-20.348404,57.552152,35.6,2020-03-17,Partial,MUS
Mexico,126190788,41313000,2020-03-20,2020-02-29,23.634501,-102.552784,27.5,2020-03-14,Partial,MEX
Moldova,2706049,160000,2020-03-19,2020-03-09,47.411631,28.369885,37.0,2020-03-11,Full,MDA
Monaco,38682,347000,2020-03-30,2020-03-01,43.750298,7.412841,37.0,2020-03-17,Full,MCO
Mongolia,3170208,529000,,2020-03-11,46.862496,103.846656,27.1,2020-03-10,Full,MNG
Montenegro,622227,2077000,2020-03-24,2020-03-18,42.708678000000006,19.37439,37.7,2020-03-24,Full,MNE
Morocco,36029138,12289000,2020-03-11,2020-03-03,31.791702,-7.09262,27.9,2020-03-16,Full,MAR
Mozambique,29495962,2743000,,2020-03-23,-18.665695,35.529562,17.2,2020-04-01,Full,MOZ
Namibia,2448255,14000,,2020-03-15,-22.95764,18.49041,21.0,2020-03-14,Full,NAM
Nepal,28087871,1173000,,2020-01-26,28.394857,84.12400799999998,23.2,2020-03-24,Full,NPL
Netherlands,17231624,18780000,2020-03-07,2020-02-28,52.132633,5.291266,42.1,2020-03-24,Full,NLD
New Zealand,4841000,3686000,2020-03-30,2020-02-29,-40.900557,174.88597099999996,37.3,2020-03-25,Full,NZL
Nicaragua,6465513,1256000,2020-03-28,2020-03-20,12.865416,-85.207229,25.2,,,NIC
Niger,22442948,157000,2020-03-26,2020-03-21,17.607789,8.081666,14.9,,,NER
Nigeria,195874740,14000,2020-03-24,2020-02-29,9.081999,8.675277000000001,17.9,2020-03-25,Full,NGA
North Macedonia,2082958,707000,2020-03-23,2020-02-27,41.6086,21.7453,37.0,2020-03-18,Full,MKD
Norway,5311916,5688000,2020-03-15,2020-02-27,60.472024,8.468946,39.2,2020-03-12,Full,NOR
Oman,4829483,2301000,2020-04-01,2020-02-25,21.512583,55.92325500000001,29.0,2020-03-29,Partial,OMN
Pakistan,212215030,14000,2020-03-20,2020-02-27,30.375321000000003,69.345116,22.5,2020-03-26,Full,PAK
Panama,4176873,1785000,2020-03-12,2020-03-11,8.537981,-80.782127,28.4,2020-03-25,Full,PAN
Papua New Guinea,8606316,140000,,2020-03-21,-6.314993,143.95555,21.7,2020-03-24,Full,PNG
Paraguay,6956071,1181000,2020-03-22,2020-03-09,-23.442503,-58.44383199999999,24.9,2020-03-15,Partial,PRY
Peru,31989256,4419000,2020-03-21,2020-03-07,-9.189967,-75.015152,27.5,2020-03-10,Full,PER
Philippines,106651922,7168000,2020-02-03,2020-01-31,12.879721,121.774017,24.1,2020-03-16,Partial,PHL
Poland,37974750,19622000,2020-03-13,2020-03-05,51.919438,19.145136,39.7,2020-03-12,Full,POL
Portugal,10283822,16186000,2020-03-18,2020-03-03,39.399872,-8.224454,43.9,2020-03-18,Full,PRT
Qatar,2781677,1819300,2020-03-29,2020-03-01,25.354826,51.183884,31.3,2020-03-11,Full,QAT
Romania,19466145,11720000,2020-03-23,2020-02-27,45.943161,24.96676,41.3,2020-03-25,Full,ROU
Russia,144478050,24551000,2020-03-20,2020-02-01,61.52401,105.318756,38.7,2020-03-27,Full,RUS
Rwanda,12301939,14000,,2020-03-15,-1.940278,29.873888,19.4,2020-03-16,Full,RWA
Saint Kitts and Nevis,52441,14000,,2020-03-26,17.357822,-62.782998,37.0,2020-03-31,Full,KNA
Saint Lucia,181889,14000,,2020-03-15,13.909444,-60.97889300000001,32.6,2020-03-20,Full,LCA
Saint Vincent and the Grenadines,110210,14000,,2020-03-15,12.984305,-61.287228000000006,29.8,,,VCT
San Marino,33785,84000,2020-03-04,2020-02-28,43.94236,12.457777,37.0,2020-03-09,Full,SMR
Sao Tome and Principe,211028,33400,,2020-04-07,0.1864,6.6131,18.1,,,STP
Saudi Arabia,33699947,15334000,2020-03-25,2020-03-03,23.885942,45.079162,29.8,2020-03-15,Full,SAU
Senegal,15854360,14000,2020-04-02,2020-03-03,14.497401000000002,-14.452362,18.3,2020-03-24,Partial,SEN
Serbia,6982604,1711000,2020-03-21,2020-03-07,44.016521,21.005859,40.0,2020-03-15,Full,SRB
Seychelles,96762,362000,,2020-03-15,-4.679574,55.491977,34.6,2020-04-09,Full,SYC
Sierra Leone,7650154,57000,2020-04-24,2020-04-01,8.460555000000001,-11.779889,18.3,2020-05-05,Full,SLE
Singapore,5638676,14673000,2020-03-22,2020-01-24,1.352083,103.819836,40.0,2020-03-26,Partial,SGP
Slovakia,5450000,14000,2020-03-19,2020-03-07,48.669026,19.699024,39.2,2020-03-09,Full,SVK
Slovenia,2073894,4425000,2020-03-15,2020-03-06,46.151241,14.995463,43.0,2020-03-11,Full,SVN
Somalia,15008154,14000,2020-04-09,2020-03-17,5.152149,46.199616,16.5,2020-03-19,Full,SOM
South Africa,57779622,10472000,2020-03-28,2020-03-06,-30.559482,22.937506,26.1,2020-03-26,Full,ZAF
South Sudan,10975920,14000,,2020-04-06,6.877000000000001,31.307,18.6,2020-03-24,Partial,SSD
Spain,46796540,82773000,2020-03-04,2020-02-02,40.463667,-3.74922,43.2,2020-03-14,Full,ESP
Sri Lanka,21670000,2334000,2020-03-29,2020-01-28,7.873054,80.77179699999998,32.3,2020-03-21,Full,LKA
Sudan,41801533,836000,2020-03-14,2020-03-14,12.862807,30.217636,18.9,2020-03-24,Partial,SDN
Suriname,575991,14000,2020-04-04,2020-03-15,3.919305000000001,-56.02778299999999,28.4,,,SUR
Sweden,10175214,7440000,2020-03-12,2020-02-01,60.128161,18.643501,40.9,,,SWE
Switzerland,8513227,10362000,2020-03-06,2020-02-26,46.818188,8.227511999999999,42.2,2020-03-18,Full,CHE
Syria,16906283,14000,2020-03-30,2020-03-23,34.802075,38.99681500000001,37.0,,,SYR
Taiwan*,23780000,14000,2020-02-17,2020-01-23,23.6978,120.9605,37.0,,,TWN
Tanzania,56318348,1378000,2020-04-01,2020-03-17,-6.369028,34.888822,37.0,,,TZA
Thailand,69428524,38178000,2020-03-02,2020-01-23,15.870032,100.992541,37.8,2020-03-22,Partial,THA
Timor-Leste,1267972,75000,,2020-03-23,-8.874217,125.727539,17.4,2020-03-28,Full,TLS
Togo,7889094,573000,2020-03-28,2020-03-07,8.619543,0.824782,18.9,2020-03-20,Partial,TGO
Trinidad and Tobago,1389858,375000,2020-03-26,2020-03-15,10.691803,-61.222503,33.9,2020-03-13,Full,TTO
Tunisia,11565204,8299000,2020-03-20,2020-03-05,33.886917,9.537499,31.1,2020-03-20,Full,TUN
Turkey,82319724,45768000,2020-03-18,2020-03-12,38.963745,35.243322,29.9,2020-03-23,Full,TUR
US,326687501,79745920,2020-03-10,2020-03-10,37.09024,-95.712891,37.6,2020-03-23,Partial,USA
Uganda,42723139,14000,,2020-03-22,1.373333,32.290275,15.8,2020-03-18,Full,UGA
Ukraine,44622516,14104000,2020-03-14,2020-03-04,48.379433,31.16558,40.3,2020-03-17,Full,UKR
United Arab Emirates,9630959,21286000,2020-03-21,2020-01-30,23.424076,53.847818,33.4,2020-03-24,Full,ARE
United Kingdom,66460344,36316000,2020-03-06,2020-02-01,55.378051,-3.435973,40.2,2020-03-23,Full,GBR
Uruguay,3449299,3469000,2020-03-30,2020-03-15,-32.522779,-55.765835,34.9,2020-03-16,Full,URY
Uzbekistan,32955400,5346000,2020-03-28,2020-03-16,41.377491,64.585262,26.3,2020-03-20,Partial,UZB
Venezuela,28870000,14000,2020-03-28,2020-03-15,6.42375,-66.58973,37.0,2020-03-16,Full,VEN
Vietnam,95540395,15498000,,2020-01-24,14.058324,108.277199,37.0,2020-03-19,Full,VNM
West Bank and Gaza,4569087,606000,2020-03-27,2020-03-06,31.9466,35.3027,37.0,2020-04-09,Full,PSE
Western Sahara,500000,14000,,2020-04-06,24.215527,-12.885834,26.8,2020-03-20,Full,ESH
Zambia,17351822,1072000,2020-04-03,2020-03-19,-13.133897,27.849332,17.1,,,ZMB
Zimbabwe,14439018,2580000,2020-03-24,2020-03-21,-19.015438,29.154857,19.0,2020-03-30,Full,ZWE
